Flightnumber;Flightcount;Timestamp Start of Flight;Engine 1 Labeled Avg;Engine 1 Predicted Avg;Engine 1 Error (Avg of Labeled - Predicted);Engine 1 Error %;rmse 1;Engine 2 Labeled Avg;Engine 2 Predicted Avg;Engine 2 Error (Avg of Labeled - Predicted);Engine 2 Error %;rmse 2;Engine 3 Labeled Avg;Engine 3 Predicted Avg;Engine 3 Error (Avg of Labeled - Predicted);Engine 3 Error %;rmse 3;Engine 4 Labeled Avg;Engine 4 Predicted Avg;Engine 4 Error (Avg of Labeled - Predicted);Engine 4 Error %;rmse 4;Combined Labeled Avg;Combined Predicted Avg;Combined Error (Avg of Labeled - Predicted);Combined Error %;CruiseTime (hrs.);FlightTime (hrs.);GrossWeight;Airport Depature;Airport Arrival
1;-127;;1145.966363;1146.038959;-0.072676547;-0.004309869;5.010249964;1104.771948;1104.549547;0.222465694;0.0136846;3.992636901;1122.826599;1122.771165;0.055520694;0.003360345;3.951437664;1154.381363;1154.178593;0.202742625;0.011935413;4.164531406;4527.946273;4527.538263;0.408052467;0.0061243;;;172131.4198;;
2;-126;;1047.246631;1047.385856;-0.139236529;-0.008062352;4.924088173;1011.98195;1012.162307;-0.180338207;-0.010806188;3.763906322;1028.734278;1029.037958;-0.30367442;-0.017900392;3.637813502;1056.564947;1056.743272;-0.178296218;-0.010233012;3.949005158;4144.527806;4145.329394;-0.801545375;-0.011727639;;;149633.7222;;
3;-125;;913.2196663;912.7166692;0.502942765;0.027990397;3.929700057;880.4176385;879.9688003;0.448781288;0.02590668;2.953887708;897.512234;896.6351941;0.877093272;0.049667369;3.159099398;920.6096494;920.3912744;0.218333645;0.012053437;3.15730741;3611.759188;3609.711938;2.04715097;0.028806921;;;129966.9823;;
4;-124;;1028.489773;1028.856564;-0.366776616;-0.021370244;4.228640131;991.1377356;991.7670898;-0.62935138;-0.038051081;3.374363228;1010.73428;1011.367865;-0.633644855;-0.037567884;3.432945482;1034.990118;1035.503247;-0.513040786;-0.029704586;3.341103613;4065.351907;4067.494766;-2.142813637;-0.03158596;;;147130.5463;;
5;-123;;1009.135087;1009.98565;-0.850578467;-0.053111257;4.090818504;975.6411825;976.2296773;-0.588479478;-0.038006922;3.178145666;990.9673991;991.6516324;-0.684233178;-0.043507714;2.905217114;1017.915003;1018.331783;-0.416685371;-0.025793973;3.164348774;3993.658671;3996.198743;-2.539976494;-0.04007562;;;142464.7515;;
6;-122;;1275.312045;1275.127379;0.18467663;0.010615791;5.381476872;1230.709847;1230.05778;0.65205768;0.038840715;3.580667709;1249.96933;1249.613688;0.355516586;0.020850544;3.442703663;1283.827374;1283.51003;0.31729869;0.018118345;4.168617839;5039.818596;5038.308877;1.509549585;0.021957827;;;177011.9911;;
7;-121;;1088.271501;1088.552567;-0.281084529;-0.016380113;4.762155828;1051.502611;1051.848695;-0.34616584;-0.020878104;3.439455506;1069.863761;1070.243519;-0.379691877;-0.022507126;3.612939924;1099.289995;1099.347291;-0.057320956;-0.003306879;3.568266661;4308.927868;4309.992072;-1.064263201;-0.015663797;;;152440.5658;;
8;-120;;1220.611694;1220.434222;0.177532821;0.009934199;5.329722838;1176.084964;1176.07828;0.006743031;0.000391605;4.076618911;1198.740381;1198.369559;0.370824156;0.02112879;4.123259244;1230.161335;1229.815289;0.345934535;0.019207179;4.363660398;4825.598374;4824.69735;0.901034543;0.012753283;;;175926.2983;;
9;-119;;1044.541688;1044.450761;0.090949948;0.005319422;4.320253063;1007.445118;1007.406879;0.038237377;0.002318753;3.180591221;1026.774489;1026.46062;0.313898554;0.018676782;3.120516367;1052.297465;1052.409116;-0.111579344;-0.006477883;3.581179648;4131.05876;4130.727376;0.331506535;0.00490251;;;149243.3287;;
10;-118;;1024.682364;1024.424491;0.257807135;0.015029342;4.278612876;988.4397821;988.2813754;0.158379193;0.009571548;3.148264397;1006.381131;1006.35173;0.029408302;0.001745588;2.999953206;1034.708649;1034.210157;0.498436073;0.028775685;3.357273319;4054.211926;4053.267753;0.944030703;0.013909578;;;145798.8711;;
11;-117;;1013.589573;1013.434291;0.155302084;0.009100299;4.142583046;978.3907528;978.1019173;0.288800822;0.017531803;3.317473151;995.5629405;995.4940825;0.068883044;0.004109454;3.707580825;1024.166627;1023.873505;0.293070037;0.016995788;3.720335528;4011.709893;4010.903796;0.806055987;0.01193373;;;153542.0842;;
12;-116;;1041.14349;1040.998949;0.14458074;0.009301472;4.035007736;1005.598002;1005.597528;0.00044572;2.96886E-05;3.117211697;1021.640631;1021.584016;0.056671337;0.003715499;2.767069006;1051.001527;1050.942754;0.058812263;0.003748145;3.10386803;4119.38365;4119.123246;0.260510061;0.004235884;;;147829.552;;
13;-115;;1274.235977;1274.527128;-0.291096215;-0.016806668;5.000104085;1227.517907;1227.462807;0.055083918;0.003301353;3.703771499;1251.879517;1251.683644;0.195839577;0.011508875;3.526245592;1282.319851;1282.510606;-0.190742591;-0.010943248;3.955002453;5035.953252;5036.184185;-0.23091531;-0.003373386;;;180576.6392;;
14;-114;;881.422804;881.5378883;-0.115117602;-0.007600804;3.452172364;851.4354824;851.4973493;-0.061812306;-0.004224986;2.656105456;864.7404559;864.8158551;-0.075403533;-0.005074672;2.527889567;889.4661231;889.6896877;-0.223574154;-0.014628314;2.858569986;3487.064865;3487.54078;-0.475907594;-0.007942637;;;125486.7203;;
15;-113;;1052.390682;1052.080692;0.310042478;0.018287044;4.548149577;1014.60858;1014.584563;0.024035211;0.001470445;3.590413561;1031.435803;1031.662307;-0.226591959;-0.013636459;3.481022655;1060.781745;1060.820702;-0.038983349;-0.002281142;3.993239968;4159.21681;4159.148264;0.068502381;0.001022335;;;153214.1764;;
